keyword,pc,mobile,total,comp_label,competition,ad_depth
포그내아기띠,1530,22900,24430,중간,0.6,8
종부세,5920,18500,24420,높음,0.9,10
고압세척기,6810,17600,24410,중간,0.6,8
상속세,4800,19600,24400,높음,0.9,10
홍삼,5690,18700,24390,높음,0.9,10
저축은행,8110,16200,24310,중간,0.6,5
목디스크증상,2800,21500,24300,높음,0.9,10
인터넷속도,16600,7690,24290,높음,0.9,10
아이폰SE,2940,21300,24240,높음,0.9,8
암막블라인드,4220,20000,24220,중간,0.6,8
상속세면제한도,3110,21100,24210,높음,0.9,10
자궁경부암검사,1900,22300,24200,높음,0.9,10
무릎통증,2570,21600,24170,높음,0.9,10
휴대용유모차,2790,21300,24090,중간,0.6,8
숄더백,3330,20700,24030,높음,0.9,10
임플란트,4210,19700,23910,높음,0.9,10
연차수당계산기,11900,12000,23900,높음,0.9,3
위닉스뽀송,3540,20200,23740,중간,0.6,8
오피스텔,4330,19400,23730,높음,0.9,10
채권,6330,17300,23630,높음,0.9,10
고관절통증,1920,21600,23520,높음,0.9,10
개인회생신청자격,3710,19800,23510,높음,0.9,10
유당불내증,2710,20800,23510,중간,0.6,8
타투스티커,3060,20400,23460,높음,0.9,10
어메이즈핏,5110,18300,23410,중간,0.6,6
골프화,4800,18600,23400,중간,0.6,8
소액대출,2610,20600,23210,높음,0.9,10
내일배움카드교육,8250,14900,23150,높음,0.9,10
거실장,4050,19100,23150,중간,0.6,8
3.3%계산기,4410,18700,23110,낮음,0.3,2
레이전기차,3790,19300,23090,높음,0.9,10
모기향,4470,18600,23070,중간,0.6,8
달러환율전망,4060,19000,23060,높음,0.9,9
모비스,4100,18900,23000,중간,0.6,7
세탁기건조기일체형,3850,19100,22950,중간,0.6,8
국제운전면허증,5260,17600,22860,높음,0.9,3
슈퍼싱글매트리스,2930,19900,22830,중간,0.6,8
펫보험,3670,19100,22770,높음,0.9,10
무소음선풍기,3550,19200,22750,높음,0.9,8
신발장,6230,16300,22530,중간,0.6,8
코란도,6290,16200,22490,높음,0.9,10
모바일운전면허증,2270,20200,22470,중간,0.6,1
갤럭시탭S10,4660,17600,22260,높음,0.9,8
빨래건조기,2450,19800,22250,중간,0.6,8
견책,4720,17500,22220,높음,0.9,10
